15:08:07.646549 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 6091
15:08:07.655292 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 254
15:08:07.655448 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 69
15:08:07.655495 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 184
15:08:07.655576 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.655578 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 34
15:08:07.655657 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.655754 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 36
15:08:07.655858 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 358
15:08:07.655879 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.656067 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 184
15:08:07.658574 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 37
15:08:07.658631 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 60
15:08:07.658735 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 34
15:08:07.658830 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 69
15:08:07.658962 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 34
15:08:07.658965 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.659043 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 34
15:08:07.722266 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 65
15:08:07.722409 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 34
15:08:07.722501 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 61
15:08:07.722548 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 34
15:08:07.722665 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 66
15:08:07.722712 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 34
15:08:07.722743 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 69
15:08:07.722764 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.722817 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.722824 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 34
15:08:07.722885 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.722928 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.722941 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 50
15:08:07.722994 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.723040 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 61
15:08:07.723094 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 36
15:08:07.723177 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 51
15:08:07.723229 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 36
15:08:07.723271 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.723287 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 54
15:08:07.723325 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.723329 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 36
15:08:07.723386 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.723429 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.723480 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 49
15:08:07.723522 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 36
15:08:07.723564 IP 10.253.0.2.45227 > 10.253.0.1.53327: UDP, length 61
15:08:07.723603 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 36
15:08:07.723669 IP 10.253.0.1.53327 > 10.253.0.2.45227: UDP, length 61
